file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2018206045859-s0001-0000000025155310-0120-s_lc.fits,25155310,1,slow,1.640615954478518,0.0452949773102064,0.37106991,1.640615954478518,3.2441904491098312,1.0979225832820456,0.5488968154853764,0.6576558269647057,0.0452949773102064,0.0442802617687848,0.0431628939479815,0.0353704877056261,0.0349915937261442,False,1.0975642683794773,False,False,True,3.2441904491098312
tess2018206045859-s0001-0000000029344935-0120-s_lc.fits,29344935,1,slow,0.918584372009494,0.0100427839768792,2.06007898,0.918584372009494,1.3873802551327783,2.7766444104831534,0.3458040011675193,0.6934548796186011,0.0100427839768792,0.0085139600843765,0.0075946735396259,0.0067264170793618,0.0060902169055662,False,0.9183208440573706,True,False,False,0.918584372009494
tess2018206045859-s0001-0000000029781292-0120-s_lc.fits,29781292,1,slow,1.9369635148003077,0.0027026679285089,0.14647961,1.9369635148003077,3.7707041597521673,3.032479142706656,2.5359860998940587,1.3280306201778205,0.0027026679285089,0.0018329442505275,0.0016587733647676,0.001552605378666,0.0012919727948883,False,4.481258320045641,False,False,True,3.7707041597521673
tess2018206045859-s0001-0000000038846515-0120-s_lc.fits,38846515,1,slow,2.8667149729798598,0.0646675528239487,0.33718228,2.8667149729798598,1.4259252066952297,0.9489765857066936,0.7111189477916506,0.568601088235671,0.0646675528239487,0.0620698105453702,0.0613279187439537,0.0559423221388493,0.0462466377952208,True,2.8524382854515,True,True,False,2.8667149729798598
tess2018206045859-s0001-0000000052368076-0120-s_lc.fits,52368076,1,slow,1.152382626654416,0.0034746012468784,0.28191447,1.152382626654416,0.3583923781410411,0.9421083187101378,3.5771939168336906,0.7660812371363606,0.0034746012468784,0.0022476874804116,0.002189695444192,0.0020172016705668,0.0018457681362995,False,10.66243087922518,False,False,False,1.152382626654416
tess2018206045859-s0001-0000000055650590-0120-s_lc.fits,55650590,1,slow,7.002931006250352,0.0138403569681087,1.11007214,7.002931006250352,15.27505207971712,2.3742287586949407,2.975082196660048,4.886098869158974,0.0138403569681087,0.0094894887976916,0.0076716270458358,0.0057628847372977,0.0055499694123929,False,13.003035878034645,False,False,True,15.27505207971712
tess2018206045859-s0001-0000000055652896-0120-s_lc.fits,55652896,1,slow,6.024211565966555,0.0109532200404769,0.61157882,6.024211565966555,1.2261227122412808,8.939348615787141,3.1956422762574768,0.9206082933022692,0.0109532200404769,0.0096975749388498,0.0095931160894574,0.0084706760780667,0.0084617284411705,False,6.936778748799084,False,False,False,6.024211565966555
tess2018206045859-s0001-0000000062483237-0120-s_lc.fits,62483237,1,slow,12.664582369978907,0.3515190986951847,0.38389027,12.664582369978907,7.713609498298607,4.328962008263386,2.76760004948984,2.385242370372117,0.3515190986951847,0.3488348415182237,0.038910931320093,0.0230095915877377,0.022380428952132,True,7.047778178533672,False,False,False,12.664582369978907
tess2018206045859-s0001-0000000089020549-0120-s_lc.fits,89020549,1,slow,0.3520566216605724,0.0027081248420955,0.3997612,0.3520566216605724,0.3017595739148243,0.1507118069123202,0.5261117344610193,2.0815816135191163,0.0027081248420955,0.0023178901730105,0.0020358119264639,0.0020248146670462,0.0018976899111143,False,5.70084869102207,False,False,False,0.3520566216605724
tess2018206045859-s0001-0000000092352620-0120-s_lc.fits,92352620,1,slow,1.3219483486079628,0.0811892547331185,0.32072544,1.3219483486079628,0.6576400942013327,3.8601952283746046,1.9835274094099395,0.9842763481416408,0.0811892547331185,0.065485539376979,0.0636578900662001,0.0630281899684192,0.0618188804139489,True,1.3219483486079628,True,True,False,1.3219483486079628
tess2018206045859-s0001-0000000097409519-0120-s_lc.fits,97409519,1,slow,1.690044515799933,0.0244810834419796,0.97860575,1.690044515799933,3.383283640122272,1.1263418341057787,0.8446234971531243,0.3063641968624118,0.0244810834419796,0.0214798433934558,0.0210940214481336,0.0197079076147534,0.0186813906098006,False,1.690044515799933,True,False,True,3.383283640122272
