file,ticid,sector,best_period_days,max_power,amplitude_percent
tess2018206045859-s0001-0000000025155310-0120-s_lc.fits,25155310,1,1.640615954478518,0.04529497731020642,0.37106991
tess2018206045859-s0001-0000000029344935-0120-s_lc.fits,29344935,1,0.918584372009494,0.010042783976879235,2.06007898
tess2018206045859-s0001-0000000029781292-0120-s_lc.fits,29781292,1,1.9369635148003073,0.002702667928508993,0.14647961
tess2018206045859-s0001-0000000038846515-0120-s_lc.fits,38846515,1,2.8667149729798593,0.0646675528239487,0.33718228
tess2018206045859-s0001-0000000052368076-0120-s_lc.fits,52368076,1,1.152382626654416,0.0034746012468784985,0.28191447
tess2018206045859-s0001-0000000055650590-0120-s_lc.fits,55650590,1,7.002931006250352,0.013840356968108711,1.11007214
tess2018206045859-s0001-0000000055652896-0120-s_lc.fits,55652896,1,6.024211565966555,0.010953220040476917,0.61157882
tess2018206045859-s0001-0000000062483237-0120-s_lc.fits,62483237,1,12.664582369978907,0.3515190986951847,0.38389027
tess2018206045859-s0001-0000000089020549-0120-s_lc.fits,89020549,1,0.3520566216605724,0.0027081248420955713,0.3997612
tess2018206045859-s0001-0000000092352620-0120-s_lc.fits,92352620,1,1.3219483486079628,0.08118925473311857,0.32072544
tess2018206045859-s0001-0000000097409519-0120-s_lc.fits,97409519,1,1.6900445157999333,0.02448108344197964,0.97860575
tess2018206045859-s0001-0000000144065872-0120-s_lc.fits,144065872,1,1.0893420376010559,0.08649810597643227,0.2576828
tess2018206045859-s0001-0000000144193715-0120-s_lc.fits,144193715,1,6.60152003454597,0.002760885090823833,0.29793978
tess2018206045859-s0001-0000000149603524-0120-s_lc.fits,149603524,1,2.1791934258156695,0.06571443658292084,0.26457787
tess2018206045859-s0001-0000000150030205-0120-s_lc.fits,150030205,1,9.978656646714164,0.0038946557605829633,0.17415404
tess2018206045859-s0001-0000000150098860-0120-s_lc.fits,150098860,1,9.312077631029627,0.001078412297714071,0.22022605
tess2018206045859-s0001-0000000150428135-0120-s_lc.fits,150428135,1,5.815673768882309,0.0012974941847142712,0.42466521
tess2018206045859-s0001-0000000201248411-0120-s_lc.fits,201248411,1,6.068934603978237,0.41195210158328444,0.65308094
tess2018206045859-s0001-0000000231663901-0120-s_lc.fits,231663901,1,1.4228855636706499,0.03431044171998296,1.09789848
tess2018206045859-s0001-0000000231670397-0120-s_lc.fits,231670397,1,1.3670699377714866,0.045532069304707455,0.26730895
