ra,dec,TIC,2mass_id,KIC,Reinhold,McQuillan,Claytor ,Oelkers,Newton 2016,Newton 2018,Bouma,Walkowicz
296.3665054,51.3194548,27843776,19452796+5119102,12470844,,,,,,,31.93,33.26
296.5500966,49.102307,351190880,19461201+4906083,11360805,,,,,,,,33.26
296.177272,46.9989635,272278496,19444255+4659564,10022908,,,,,,,38.78,33.26
284.6888328,46.1721391,164780824,18584533+4610200,9512687,,,,,,,31.06,33.26
290.007564,42.1164698,159217349,19200181+4206592,6685526,,,,,,,31.27,33.26
291.1528056,40.8876814,122712179,19243670+4053149,5617854,,,,,,,30.63,33.26
298.6634624,43.8940593,268160061,19543923+4353386,8051946,,,,,,,,33.2
291.4332781,41.7033162,137211068,19254399+4142123,6362874,,,,,,,27.84,33.2
293.6413146,44.6570692,270615136,19343390+4439253,8564587,,,,,,,30.63,32.54
287.857953,42.5426758,158631520,19112594+4232334,7021681,,,,,,,,32.54
286.3580611,42.4064917,158216544,19052593+4224234,6932987,,,,,,,30.42,32.54
288.4165196,41.0298175,121602473,19133996+4101472,5780460,,,,,,,,32.54
286.1154093,37.9669464,120762990,19042768+3758011,2693736,,,,,,,,32.54
298.3144494,42.2473698,274031725,19531546+4214507,6803855,,,,,,,,32.5
290.4209694,37.8516556,122375047,19214099+3751064,2571238,,,,,,,19.83,32.5
294.121482,48.3497977,27011135,19362914+4820582,10925104,,,,,,,,31.85
295.6848595,47.7480914,271877680,19424435+4744530,10545066,,,,,,,30.39,31.85
285.2962562,46.6034497,164892142,19011108+4636123,9818462,,,,,,,30.21,31.85
288.1646541,45.8164257,158665380,19123952+4548594,9334289,,,,,,,24.54,31.85
296.8565596,41.7580749,239229234,19472559+4145294,6382217,,,,,,,31.93,31.85
299.3160934,40.8223815,171974763,19571586+4049205,5651104,,,,,,,,31.85
285.2763652,39.4468274,399819857,19010634+3926488,4346178,,,,,,,32.6,31.85
294.3660313,49.9150219,27187450,19372786+4954542,11768142,,,,,,,31.92,31.18
299.9059167,45.4396103,269269546,19593741+4526228,9115800,,,,,,,27.42,31.18
294.6500256,43.3356106,271158747,19383597+4320081,7691260,,,,,,,32.39,31.18
291.4688524,40.3437001,137155210,19255247+4020378,5185897,,,,,,,29.79,31.18
291.4399598,37.9056293,137149476,19254559+3754203,2713049,,,,,,,21.52,31.18
289.3879904,50.5970115,299218776,19173311+5035493,12058204,,,,,,,31.93,30.55
288.4166786,47.8787308,158731868,19133996+4752434,10591855,,,,,,,28.38,30.55
280.7085829,47.3279236,123130285,18425005+4719410,10252275,,,,,,,25.4,30.55
286.9241804,47.0537092,158324044,19074183+4703134,10064256,,,,,,,33.75,30.55
297.1326937,42.7682885,272945038,19483183+4246057,7220429,,,,,,,37.71,30.55
291.1694567,42.6407281,159652365,19244068+4238269,7115785,,,,,,,27.26,30.55
280.8233646,42.6360518,123201193,18431761+4238097,7090524,,,,,,,,30.55
286.8872555,42.4712271,158386765,19073294+4228165,6934291,,,,,,,31.06,30.55
291.3426078,38.3631616,137150599,19252222+3821472,3234598,,,,,,,,30.55
281.5827983,47.2334674,123357893,18461989+4714010,10187159,,,,,,,33.99,29.94
284.5858364,47.0795646,164781761,18582058+4704463,10059645,,,,,,,27.99,29.94
287.3327284,46.2034366,158415898,19091987+4612126,9578686,,,,,,,,29.94
294.5693544,45.6711623,271163971,19381665+4540165,9225395,,,,,,,,29.94
286.0751815,44.6646277,158171839,19041805+4439527,8547140,,,,,,,29.59,29.94
288.6425609,43.0393769,158792051,19143420+4302214,7434875,,,,,,,34.16,29.94
290.9144516,42.2865522,159573412,19233947+4217116,6774537,,,,,,,28.19,29.94
292.577073,39.120939,137689252,19301848+3907151,4061149,,,,,,,28.98,29.94
297.2158443,47.3785082,273046164,19485179+4722426,10289119,,,,,,,,29.9
291.5941514,48.4454907,26417717,19262258+4826442,10975146,,,,,,,37.71,29.35
286.716712,47.425658,158322622,19065198+4725322,10328458,,,,,,,34.7,29.35
289.7861626,46.8588176,159171904,19190869+4651316,9946525,,,,,,,28.38,29.35
286.0157998,45.0077413,158114000,19040380+4500279,8806072,,,,,,,25.37,29.35
283.1296399,43.8880983,164459949,18523111+4353176,8009350,,,,,,,28.79,29.35
283.4781717,43.3837235,164529393,18535476+4323016,7663405,,,,,,,,29.35
293.6084289,42.1978746,270609625,19342609+4211516,6697756,,,,,,,30.63,29.35
294.8160447,45.3060844,271256817,19391586+4518220,9030537,,,,,,,26.12,28.79
291.1643587,45.3183061,159647219,19243945+4519058,9020114,,,,,,,,28.79
295.0902409,45.0811045,271428166,19402166+4504522,8827575,,,,,,,28.58,28.79
284.0592503,44.5183733,164652245,18561431+4431052,8478994,,,,,,,23.54,28.79
291.6408978,41.2411044,137341066,19263381+4114277,5959753,,,,,,,,28.79
288.0297157,40.3441934,121465404,19120712+4020389,5174858,,,,,,,27.23,28.79
297.4303826,39.8478795,169457234,19494329+3950522,4770365,,,,,,,26.85,28.79
286.5942529,37.8912836,120963454,19062262+3753285,2556650,,,,,,,27.8,28.79
284.8304434,44.6580932,164786087,18591931+4439293,8544996,,,,,,,,28.31
289.7428363,50.7870626,416281238,19185826+5047133,12156347,,,,,,,28.78,28.25
287.3469567,47.7729078,158489095,19092321+4746226,10525027,,,,,,,28.19,28.25
288.0080899,46.4736108,158660814,19120194+4628248,9702072,,,,,,,25.05,28.25
290.4799052,45.6005798,159397031,19215518+4536025,9214942,,,,,,,29.18,28.25
283.8996207,45.0169137,164560223,18553591+4501007,8802165,,,,,,,19.52,28.25
292.6422963,44.0876251,63366281,19303416+4405156,8167996,,,,,,,25.58,28.25
286.7418337,43.1901197,158317824,19065804+4311243,7512982,,,,,,,25.76,28.25
292.8733696,42.9661583,63372898,19312961+4257580,7366258,,,,,,,,28.25
287.6979913,42.3385782,158554588,19104752+4220194,6850504,,,,,,,26.3,28.25
289.9793241,40.1427848,122294261,19195503+4008341,5005121,,,,,,,35.37,28.25
290.493913,52.055611,406997913,19215853+5203201,12785320,,,,,,,38.23,27.73
296.0094827,50.4983929,27766705,19440226+5029541,12021625,,,,,,,23.54,27.73
296.8591787,49.1620125,27914389,19472621+4909433,11361646,,,,,,,11.84,27.73
300.3712023,46.4081872,239285770,20012910+4624297,9735426,,,,,,,26.67,27.73
293.6819098,45.8175241,270617362,19344365+4549032,9347009,,,,,,,25.23,27.73
295.9513472,43.8519884,271968263,19434832+4351073,8041216,,,,,,,25.75,27.73
295.6247375,42.5458739,271758949,19422992+4232452,7047363,,,,,,,27.23,27.73
296.8609348,41.0973178,239227652,19472664+4105504,5809890,,,,,,,29.18,27.73
291.8629793,46.4291614,63068329,19272708+4625453,9710326,,,,,,,25.58,27.23
288.4957831,51.0819286,298969755,19135899+5104550,12302530,,,,,,,26.48,26.74
298.3026595,47.6939654,273875149,19531265+4741384,10489345,,,,,,,27.8,26.74
281.4824731,47.2078263,123357864,18455585+4712289,10187017,,,,,,,26.55,26.74
297.7792466,46.4926688,273379660,19510702+4629338,9726659,,,,,,,26.3,26.74
294.9789253,46.0056741,271353794,19395491+4600203,9473078,,,,,,,30.86,26.74
285.3458383,45.3677754,164890864,19012300+4522040,9006449,,,,,,,,26.74
289.1926026,44.1493165,158989909,19164623+4408575,8226050,,,,,,,31,26.74
290.5164698,43.0838642,159444082,19220395+4305017,7440748,,,,,,,28.56,26.74
299.081007,42.0180957,268492383,19561943+4201053,6636320,,,,,,,28.38,26.74
292.2861201,40.9135429,137556197,19290865+4054489,5706966,,,,,,,,26.74
287.051694,40.2114232,121108727,19081241+4012415,5084942,,,,,,,44.23,26.74
291.7262251,37.528968,137315414,19265428+3731440,2161536,,,,,,,27.04,26.74
284.4305132,44.4803776,164726831,18574332+4428499,8414716,,,,,,,,26.27
290.7443078,43.260753,159449041,19225863+4315387,7604328,,,,,,,25.4,26.27
287.8915707,39.3390979,121458707,19113399+3920208,4249725,,,,,,,20.49,26.27
292.1151093,49.2563792,26583618,19282763+4915231,11403389,,,,,,,25.4,25.82
297.6726072,48.3023458,28231454,19504142+4818083,10934674,,,,,,,25.05,25.82
298.4264116,47.9468194,267991349,19534232+4756484,10684670,,,,,,,27.21,25.82
288.1209339,47.9666141,298837729,19122903+4758000,10656823,,,,,,,26.3,25.82
284.4304085,47.6416613,164723619,18574326+4738304,10454632,,,,,,,25.58,25.82
285.1219875,44.1105331,164883912,19002928+4406381,8218379,,,,,,,25.4,25.82
289.1122204,51.7373589,299161524,19162693+5144145,12644822,,,,,,,23.38,25.38
292.5844328,49.9232012,26657091,19302026+4955233,11764462,,,,,,,22.55,25.38
284.1329728,49.1426325,48421337,18563189+4908333,11337141,,,,,,,26.12,25.38
290.2945805,45.5645196,159389232,19211069+4533525,9150827,,,,,,,24.37,25.38
294.9568477,43.0142991,271347296,19394964+4300515,7456001,,,,,,,,25.38
287.0940046,39.0607801,121085785,19082256+3903386,3940418,,,,,,,27.23,25.38
286.4023452,38.7385674,120892579,19053655+3844187,3629967,,,,,,,24.5,25.38
294.889616,49.3798215,27240404,19393351+4922471,11461433,,,,,,,30.21,24.96
296.3219786,48.9714373,27774043,19451727+4858173,11254382,,,,,,,19.94,24.96
296.71274,48.2722828,351189211,19465105+4816203,10874215,,,,,,,24.7,24.96
289.0836324,48.0180689,299156496,19162007+4801052,10724369,,,,,,,28.38,24.96
294.8469333,45.0344155,271351820,19392325+4502038,8826878,,,,,,,21.96,24.96
291.2850446,40.7300225,137089954,19250840+4043481,5531953,,,,,,,,24.96
290.1653203,49.9238126,267747398,19203966+4955259,11760231,,,,,,,25.05,24.55
289.2962253,46.4579889,158986490,19171110+4627286,9704384,,,,,,,21.51,24.55
290.9734395,45.2902761,159580705,19235362+4517251,8950568,,,,,,,23.54,24.55
290.7082585,42.2372245,159446957,19225001+4214141,6773862,,,,,,,24.71,24.55
289.538818,41.8928154,159102744,19180931+4153341,6436029,,,,,,,25.03,24.55
286.6383905,39.4879038,120960812,19063321+3929164,4349452,,,,,,,22.87,24.55
293.9733913,50.531846,27006192,19355360+5031548,12066335,,,,,,,23.05,24.16
293.2983733,43.5558025,275571117,19331160+4333211,7826659,,,,,,,21.52,24.16
293.3224114,42.8674925,275569784,19331737+4252028,7286911,,,,,,,26.85,24.16
296.4834007,42.6633806,272484980,19455602+4239483,7134976,,,,,,,22.42,24.16
