file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2018292075959-s0004-0000000055652896-0124-s_lc.fits,55652896,4,slow,6.57869955,0.057471278,0.6231916,6.57869955,12.28706861,4.655959942,3.707759715,2.938376467,0.057471278,0.05168475,0.010805879,0.005356609,0.003742554,TRUE,6.57869955,TRUE,TRUE,TRUE,12.28706861
tess2018292075959-s0004-0000000098796344-0124-s_lc.fits,98796344,4,slow,1.400927637,0.64209903,0.6736052,1.400927637,4.508355755,1.072408519,5.715821246,1.226486648,0.64209903,0.040474438,0.031927627,0.027095129,0.026440091,TRUE,1.407134911,TRUE,TRUE,FALSE,1.400927637
tess2018292075959-s0004-0000000178155732-0124-s_lc.fits,178155732,4,slow,3.088487427,0.052363627,0.05045235,3.088487427,2.641730792,3.512824382,1.446268243,5.034610288,0.052363627,0.038620709,0.032706061,0.030524923,0.010155713,TRUE,3.088487427,TRUE,TRUE,FALSE,3.088487427
tess2018292075959-s0004-0000000179034327-0124-s_lc.fits,179034327,4,slow,12.29207951,0.502829527,0.72700262,12.29207951,5.700838283,7.78919331,3.413117246,2.692730158,0.502829527,0.278248032,0.210842837,0.076904667,0.072998198,TRUE,12.29207951,TRUE,TRUE,FALSE,12.29207951
tess2018292075959-s0004-0000000200322593-0124-s_lc.fits,200322593,4,slow,0.725610652,0.186746406,0.71780682,0.725610652,0.363180426,0.625704697,0.863482463,4.486413168,0.186746406,0.049522173,0.007680965,0.006498134,0.002006991,TRUE,0.72711287,TRUE,TRUE,FALSE,0.725610652
tess2018292075959-s0004-0000000300038935-0124-s_lc.fits,300038935,4,slow,20,0.269292105,0.11394978,8.256361098,3.686523382,4.996513717,2.791883157,2.063495903,0.079516441,0.064731371,0.063465177,0.048462681,0.030592529,TRUE,8.256361098,TRUE,TRUE,FALSE,8.256361098
tess2018292075959-s0004-0000000391903064-0124-s_lc.fits,391903064,4,slow,3.323809074,0.95708894,6.21335268,3.323809074,4.065303516,2.811079814,1.692287625,5.026441318,0.95708894,0.213178234,0.188548234,0.072715229,0.030540439,TRUE,3.354253434,TRUE,TRUE,FALSE,3.323809074
tess2018319095959-s0005-0000000004070275-0125-s_lc.fits,4070275,5,slow,5.255416541,0.176592418,0.7864213,5.255416541,2.089283657,3.958413142,8.901025068,2.888951018,0.176592418,0.090436289,0.051961923,0.02061502,0.011355492,TRUE,5.255416541,TRUE,TRUE,FALSE,5.255416541
tess2018319095959-s0005-0000000192790476-0125-s_lc.fits,192790476,5,slow,6.009037182,0.314055094,0.40428996,6.009037182,9.585203025,3.852839702,3.266743756,2.835418452,0.314055094,0.30107335,0.067702286,0.015109893,0.010267562,TRUE,5.752196377,TRUE,TRUE,FALSE,6.009037182
tess2018319095959-s0005-0000000200322593-0125-s_lc.fits,200322593,5,slow,0.72711287,0.269410657,0.77138305,0.72711287,0.363909386,0.659065892,0.596988888,0.860357681,0.269410657,0.050112587,0.008214772,0.005833993,0.00474367,TRUE,0.72711287,TRUE,TRUE,FALSE,0.72711287
tess2018319095959-s0005-0000000257605131-0125-s_lc.fits,257605131,5,slow,5.029891401,0.485236767,0.95612109,5.029891401,2.752642618,3.32635011,3.713315919,11.21567765,0.485236767,0.128088453,0.021319021,0.021317712,0.013649157,TRUE,5.220050723,TRUE,TRUE,FALSE,5.029891401
tess2018319095959-s0005-0000000435339847-0125-s_lc.fits,435339847,5,slow,9.50427822,0.107054279,0.59252381,9.50427822,6.233187913,3.920228604,2.469388507,1.639221403,0.107054279,0.064842519,0.008049942,0.004819039,0.00373257,TRUE,9.227372199,TRUE,TRUE,FALSE,9.50427822
tess2018349182500-s0006-0000000037168957-0126-s_lc.fits,37168957,6,slow,5.325112783,0.146938182,5.76685607,5.325112783,9.513319509,3.82735335,1.862696692,2.987171327,0.146938182,0.026127663,0.02255541,0.010164013,0.008195604,TRUE,5.325112783,TRUE,TRUE,FALSE,5.325112783
tess2018349182500-s0006-0000000047911178-0126-s_lc.fits,47911178,6,slow,3.827356969,0.092778816,0.27908921,3.827356969,1.895125519,8.097977714,2.987174298,2.158112534,0.092778816,0.052346438,0.024966419,0.020862708,0.016376396,TRUE,3.827356969,TRUE,TRUE,FALSE,3.827356969
tess2018349182500-s0006-0000000050618703-0126-s_lc.fits,50618703,6,slow,7.537160305,0.24362686,0.27692616,7.537160305,5.076670689,3.355390684,2.343924284,14.62577694,0.24362686,0.064881664,0.061472464,0.01343667,0.009086229,TRUE,7.537160305,TRUE,TRUE,FALSE,7.537160305
tess2018349182500-s0006-0000000200322593-0126-s_lc.fits,200322593,6,slow,0.72843209,0.160444616,0.74224293,0.72843209,0.362328492,0.854178596,0.63127568,1.013179923,0.160444616,0.039153534,0.005447044,0.003969725,0.002027439,TRUE,0.72711287,TRUE,TRUE,FALSE,0.72843209
tess2018349182500-s0006-0000000317548889-0126-s_lc.fits,317548889,6,slow,7.537216479,0.071959786,0.06864965,7.537216479,4.850511135,2.626740935,3.697314236,1.614104147,0.071959786,0.032644918,0.024873533,0.016729953,0.005152662,TRUE,7.537216479,TRUE,TRUE,FALSE,7.537216479
tess2018349182500-s0006-0000000391903064-0126-s_lc.fits,391903064,6,slow,3.355474448,0.864417921,4.44693089,3.355474448,2.759975581,4.278645034,2.395567043,1.963490362,0.864417921,0.103925621,0.050816117,0.031494764,0.03052787,TRUE,3.354253434,TRUE,TRUE,FALSE,3.355474448
