file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,period_agree,ref_period,power_and_agree,double_dipper
tess2024142205832-s0079-0000000302773669-0274-s_lc.fits,302773669,79,slow,9.177282627,0.009046604842,0.09401917,9.177282627,1.890043607,0.7762413951,1.061749957,1.600240712,0.009046604842,0.007924603461,0.007477045535,0.007306215424,0.006726553065,FALSE,FALSE,6.575320594,FALSE,TRUE
tess2024142205832-s0079-0000000408618999-0274-a_fast-lc.fits,408618999,79,fast,2.432245009,0.007399831658,0.25454164,2.432245009,3.098856708,5.47451154,2.031629787,2.725380638,0.007399831658,0.005155693361,0.004747677449,0.002540527283,0.002121278771,FALSE,FALSE,10.50727817,FALSE,TRUE
tess2024142205832-s0079-0000000408618999-0274-s_lc.fits,408618999,79,slow,15.44612642,0.002521828018,0.11906505,15.44612642,0.9991964198,4.555326473,1.171793453,0.6406281408,0.002521828018,0.002246901484,0.0017863692,0.001687929233,0.001314302299,FALSE,FALSE,10.50727817,FALSE,TRUE
tess2024300212641-s0085-0000000139375960-0282-s_lc.fits,139375960,85,slow,2.634668369,0.02550513726,0.31228662,2.634668369,1.322422427,1.760962646,1.0676252,4.655987579,0.02550513726,0.02483439938,0.02006578742,0.01910483187,0.01691148225,FALSE,TRUE,2.634668369,FALSE,TRUE
tess2024300212641-s0085-0000000245392284-0282-a_fast-lc.fits,245392284,85,fast,20,0.08955822979,5.90777516,6.579091312,3.321500631,2.146693918,4.339229607,2.634853673,0.07846104438,0.03815667558,0.02489950368,0.02116473694,0.01889031947,TRUE,TRUE,20,TRUE,FALSE
tess2024300212641-s0085-0000000245392284-0282-s_lc.fits,245392284,85,slow,15.22233682,0.06408705344,3.23500395,15.22233682,6.25584324,3.156765806,2.076602791,0.804723311,0.06408705344,0.04013363602,0.01967377763,0.01490372687,0.01346827782,TRUE,FALSE,20,FALSE,TRUE
tess2024300212641-s0085-0000000245509452-0282-s_lc.fits,245509452,85,slow,0.6490014594,0.03389664355,0.91234505,0.6490014594,3.236943776,1.085826139,0.3606561916,0.8150158952,0.03389664355,0.03328079276,0.03093983688,0.02803394817,0.02588812243,FALSE,TRUE,0.6490014594,FALSE,TRUE
tess2024300212641-s0085-0000000436873727-0282-a_fast-lc.fits,436873727,85,fast,1.016598844,0.09074908325,0.15909076,1.016598844,0.5110973858,10.30121705,1.144389457,0.2552276718,0.09074908325,0.01382708059,0.01239129127,0.01237092293,0.01212788892,TRUE,TRUE,1.015885,TRUE,FALSE
tess2024300212641-s0085-0000000436873727-0282-s_lc.fits,436873727,85,slow,1.016528745,0.2670522805,0.10004282,1.016528745,0.5110612049,1.144311077,0.2552093669,0.7393561819,0.2670522805,0.04254818557,0.03212556605,0.02925749897,0.02650103929,TRUE,TRUE,1.015885,TRUE,FALSE
tess2024300212641-s0085-0000000436875934-0282-s_lc.fits,436875934,85,slow,0.9210282549,0.009582973745,1.84385777,0.9210282549,11.20665529,2.748298297,1.379686626,0.5508212291,0.009582973745,0.009481548364,0.008639979198,0.008449795216,0.008368717417,FALSE,FALSE,0.4587335433,FALSE,TRUE
tess2024326142117-s0086-0000000279947414-0283-a_fast-lc.fits,279947414,86,fast,5.618579685,0.01198846384,1.57422185,5.618579685,3.948451865,2.054903752,7.981935534,1.388854602,0.01198846384,0.009142695334,0.007848917343,0.006715022515,0.004859418826,FALSE,TRUE,5.432424944,FALSE,TRUE
tess2024326142117-s0086-0000000279947414-0283-s_lc.fits,279947414,86,slow,4.197880708,0.03307820258,0.67145228,4.197880708,11.40991289,5.866551845,3.528741566,1.37442765,0.03307820258,0.02516652393,0.01695910835,0.01466791938,0.01426803706,FALSE,FALSE,5.432424944,FALSE,TRUE
tess2024326142117-s0086-0000000302773669-0283-s_lc.fits,302773669,86,slow,4.637556377,0.02518142061,0.09571016,4.637556377,9.737031061,1.935067966,2.675707484,7.1253454,0.02518142061,0.01841494316,0.01272267986,0.01062129001,0.008884570606,FALSE,FALSE,6.575320594,FALSE,TRUE
tess2024326142117-s0086-0000000408618999-0283-a_fast-lc.fits,408618999,86,fast,3.625148228,0.003971885833,0.25462508,3.625148228,13.77693618,1.733146783,4.334997671,1.99321677,0.003971885833,0.00345698182,0.001750226381,0.00145389475,0.001072767689,FALSE,FALSE,10.50727817,FALSE,TRUE
tess2024326142117-s0086-0000000408618999-0283-s_lc.fits,408618999,86,slow,10.50727817,0.03643526618,0.12615025,10.50727817,4.637549359,7.125336364,1.935064522,1.481742544,0.03643526618,0.02904006596,0.02322967185,0.02036613595,0.01407342693,FALSE,TRUE,10.50727817,FALSE,TRUE
tess2025042113628-s0089-0000000394357918-0286-s_lc.fits,394357918,89,slow,5.294943582,0.00166672581,5.01657426,5.294943582,3.674105654,0.3545790571,0.1573757805,0.2873705421,0.00166672581,0.001099229741,0.0008404051661,0.0008139977336,0.0007480217193,FALSE,FALSE,6.419231756,FALSE,TRUE
tess2025154050500-s0093-0000000299798795-0290-a_fast-lc.fits,299798795,93,fast,1.235260897,0.3775828456,2.00868011,1.235260897,1.497785262,1.041899612,0.614432625,3.424036198,0.3775828456,0.03862444737,0.03213769402,0.008449075472,0.007575844771,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2025154050500-s0093-0000000299798795-0290-s_lc.fits,299798795,93,slow,1.235249701,0.7013174118,1.60261691,1.235249701,1.497771876,1.041890071,0.6144268717,1.711768739,0.7013174118,0.04297048364,0.03646887353,0.01830966593,0.01098944184,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2025154050500-s0093-0000000299799658-0290-a_fast-lc.fits,299799658,93,fast,8.720024619,0.04778567066,0.46268702,8.720024619,2.799369997,3.966356604,4.723745039,2.370219755,0.04778567066,0.01940200846,0.01320163739,0.009725124359,0.008041118367,FALSE,TRUE,8.64536327,FALSE,FALSE
tess2025154050500-s0093-0000000299799658-0290-s_lc.fits,299799658,93,slow,12.09668276,0.08872470129,0.20905137,12.09668276,6.756671174,4.204561568,4.874015596,2.775162421,0.08872470129,0.08764158181,0.009204471417,0.005847138134,0.003190973279,TRUE,FALSE,8.64536327,FALSE,TRUE
tess2025180145000-s0094-0000000299799658-0291-a_fast-lc.fits,299799658,94,fast,4.821241973,0.004878400255,0.45465112,4.821241973,6.340941085,10.02907054,3.889150317,2.319587944,0.004878400255,0.003970515644,0.003316884246,0.001565450252,0.001408876752,FALSE,FALSE,8.64536327,FALSE,TRUE
tess2025180145000-s0094-0000000299799658-0291-s_lc.fits,299799658,94,slow,7.070467845,0.05882698439,0.21733761,7.070467845,12.01222941,4.453260121,3.643951937,2.269272839,0.05882698439,0.05716504339,0.01780837119,0.01289848314,0.009322009669,TRUE,FALSE,8.64536327,FALSE,TRUE
tess2025206162959-s0095-0000000299798795-0292-a_fast-lc.fits,299798795,95,fast,1.22874546,0.3985484031,1.99742794,1.22874546,0.617241328,1.03454785,1.512697818,1.710317552,0.3985484031,0.03656503716,0.03287414035,0.02614238779,0.005962905521,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2025206162959-s0095-0000000299798795-0292-s_lc.fits,299798795,95,slow,1.228666162,0.7299463095,1.56235933,1.228666162,0.6172001963,1.034480394,1.512601671,5.639676922,0.7299463095,0.05747157235,0.04431116215,0.04354236572,0.01316005127,TRUE,TRUE,1.228666162,TRUE,FALSE
tess2025206162959-s0095-0000000299799658-0292-a_fast-lc.fits,299799658,95,fast,3.42747968,0.007665199377,0.46187878,3.42747968,1.142443049,1.394850025,4.998558801,2.399188357,0.007665199377,0.005713616635,0.005617155744,0.005346445843,0.005084336145,FALSE,FALSE,8.64536327,FALSE,TRUE
tess2025206162959-s0095-0000000299799658-0292-s_lc.fits,299799658,95,slow,5.697698946,0.05909798813,0.22378445,5.697698946,4.272034172,2.173924707,2.440251941,1.086721644,0.05909798813,0.051810293,0.01352356327,0.0113585298,0.01087244667,TRUE,FALSE,8.64536327,FALSE,TRUE
tess2025232030459-s0096-0000000207110080-0293-s_lc.fits,207110080,96,slow,1.324557102,0.003690518157,0.421772,1.324557102,1.471806999,6.635263926,3.224066951,0.7267369201,0.003690518157,0.003099867042,0.002970191039,0.002763168185,0.002448342103,FALSE,TRUE,1.324557102,FALSE,TRUE
tess2025258001959-s0097-0000000122612091-0294-a_fast-lc.fits,122612091,97,fast,0.5545760279,0.01351194723,0.7910943,0.5545760279,0.7383699222,1.109073094,2.227305606,0.3697261263,0.01351194723,0.01237136517,0.0120763571,0.01157432757,0.01018674176,FALSE,FALSE,2.200817047,FALSE,TRUE
tess2025258001959-s0097-0000000122612091-0294-s_lc.fits,122612091,97,slow,2.207589286,0.05704655386,0.38524806,2.207589286,0.5543437878,1.108621885,0.738063636,0.3695698247,0.05704655386,0.05495627797,0.05462745519,0.04678136654,0.03692036272,TRUE,TRUE,2.200817047,TRUE,TRUE
tess2025258001959-s0097-0000000166836920-0294-a_fast-lc.fits,166836920,97,fast,2.870506994,0.02023555603,0.36280155,2.870506994,1.915322646,1.43711203,1.149987452,0.9584884076,0.02023555603,0.0196125211,0.01937260539,0.01894065143,0.01775177213,FALSE,FALSE,1.151234165,FALSE,TRUE
tess2025258001959-s0097-0000000166836920-0294-s_lc.fits,166836920,97,slow,1.92369863,0.05536160047,0.18560886,1.92369863,2.874040501,1.437728832,1.152829197,0.9586434542,0.05536160047,0.05180313687,0.04973368633,0.04775986793,0.04576388147,TRUE,FALSE,1.151234165,FALSE,TRUE
tess2025258001959-s0097-0000000178155732-0294-a_fast-lc.fits,178155732,97,fast,8.190157586,0.01670153847,0.08136272,8.190157586,6.726754064,10.46732027,2.604665036,4.453301516,0.01670153847,0.008349607674,0.006984239274,0.004974259446,0.004948976065,FALSE,FALSE,3.088487427,FALSE,FALSE
tess2025258001959-s0097-0000000178155732-0294-s_lc.fits,178155732,97,slow,7.657178673,0.03090786745,0.05381107,7.657178673,5.208246851,3.472809607,11.31487439,1.973503909,0.03090786745,0.02031139958,0.01567972847,0.01457618266,0.01372019085,FALSE,FALSE,3.088487427,FALSE,TRUE
tess2025258001959-s0097-0000000207110080-0294-a_fast-lc.fits,207110080,97,fast,13.65498209,0.0006947008822,1.01408839,13.65498209,0.7688000353,5.174047519,1.604906777,2.101084703,0.0006947008822,0.0005184465385,0.0005149635839,0.0005102282229,0.0005099095261,FALSE,FALSE,1.324557102,FALSE,TRUE
tess2025258001959-s0097-0000000207110080-0294-s_lc.fits,207110080,97,slow,1.614723372,0.002219942,0.43750942,1.614723372,4.309946381,2.438012917,6.469748541,0.2241591809,0.002219942,0.001884832525,0.001653061831,0.001635555911,0.00149487644,FALSE,FALSE,1.324557102,FALSE,TRUE
