ticid,periods
670036,5.405904436
677945,5.95656414
1003831,9.19556627
1003831,9.963752119
1003831,9.292504661
1129033,11.19500103
1528696,5.507918584
4070275,5.255416541
4646810,11.2298816
4646810,11.19500234
5882269,4.321152861
5882269,4.407946671
5882269,4.40958795
7059054,9.941409929
7059054,9.874450509
8260536,3.575264474
8348911,2.829518022
8400842,7.579052823
9006668,12.62765713
9348006,5.290540155
9348006,5.500604511
11023038,8.172298932
14614418,8.544308147
15445551,0.59484074
15756231,2.966369746
15756231,2.898346831
15756231,2.953327382
15756231,2.952942976
16288184,12.67359447
16740101,3.408410281
17993892,5.282405185
18310799,6.663112483
18310799,6.312292084
19342878,11.91550295
22221375,10.94231441
22221375,10.09943984
26078330,10.05848046
26416803,9.748038651
26541079,0.186530544
26541144,11.43539697
26547036,15.32565813
26547036,9.601249417
26547036,8.755953733
26584080,4.215160721
26584080,4.206214252
26584080,4.205171911
26584080,4.243243615
26657091,7.135463388
26826078,6.62254036
27010191,2.608734588
27010191,2.594026288
27010191,2.534897239
27010191,2.534724555
27010191,2.6168064
27010191,2.616692353
27010191,2.577184735
27010191,2.577028583
27010191,2.51190771
27010191,2.511750389
27064468,4.665299308
27064468,4.386310912
27064468,4.438675506
27084006,3.73342929
27084006,3.749486487
27186509,5.393897892
27186509,5.708633337
27240575,4.64542387
27491137,7.035184024
27491137,13.72380887
27639443,0.123095464
27639443,0.123107038
27639443,0.123108529
27639443,0.123183763
27639443,0.123089422
27645404,5.265941912
27645404,10.71518081
27769688,12.48631747
27769688,6.345010845
27769688,6.458026491
27769688,6.457685368
27769688,6.041233545
27769688,6.219624289
27769688,6.219294588
27769688,6.772460061
27769688,6.641736687
27848472,11.70122812
27848472,12.49233254
27988327,0.489481652
28159518,7.348449159
28159518,7.402049707
28159758,0.192802518
28229515,3.383958752
28229515,7.67692937
28230919,10.55973771
28230919,9.673523112
28230919,10.61844926
28230919,10.617855
28230919,10.7151709
28357724,0.186550975
28357724,0.186406539
28357724,0.186352622
28357724,0.186562668
28357724,0.186406777
28357724,0.186548652
28357724,0.186402136
28357724,0.186454478
28361088,0.051523005
29191624,5.977397467
29960110,11.22215125
31374837,13.65595998
32949762,0.523714882
32949762,0.52419356
34068865,10.7545586
35516889,9.18907102
36734222,12.61233971
37168957,5.325112783
37168957,5.752265544
37168957,5.305638572
37749396,12.09325908
38200266,12.17915769
38846515,13.29197728
39414571,9.794980425
39903405,5.465549758
39936432,8.816282571
40292751,10.51824233
47911178,3.827356969
47976987,4.789140303
48353358,2.237424095
48353358,2.236404255
48353358,2.218306128
48353358,2.231318347
48353358,2.249470687
48353902,9.945707774
48353902,5.84814077
